,0,1,2,3,4,5,6
697,9.0,Mariafe Artacho,Taliqua Clancy,Australia,3,"$6,000.00",600.0
698,9.0,Julia Donlin,Betsi Flint,United States,11,"$6,000.00",600.0
699,9.0,Barbora Hermannova,Marie-Sara Stochlova,Czech Republic,12,"$6,000.00",600.0
700,13.0,Agatha Bednarczuk,Rebecca Cavalcanti,Brazil,4,"$5,000.00",460.0
701,13.0,Tina Graudina,Anastasija Samoilova,Latvia,9,"$5,000.00",460.0
702,13.0,Carol Salgado,Barbara Seixas,Brazil,"14, Q2","$5,000.00",460.0
703,13.0,Valentina Gottardi,Marta Menegatti,Italy,"15, Q4","$5,000.00",460.0
704,17.0,Jagoda Sliwka,Aleksandra Wachowicz,Poland,Q5,$0.00,400.0
705,17.0,Esmee Bobner,Zoe Verge-Depre,Switzerland,Q8,$0.00,400.0
706,17.0,Toni Rodriguez,Savvy Simo,United States,Q10,$0.00,400.0
707,17.0,Monika Paulikiene,Aine Raupelyte,Lithuania,Q14,$0.00,400.0
708,21.0,Victoria Lopes,Taina Silva,Brazil,Q3,$0.00,340.0
709,21.0,Margherita Bianchin,Claudia Scampoli,Italy,Q7,$0.00,340.0
710,21.0,Helena Havelkova,Marketa Slukova,Czech Republic,Q9,$0.00,340.0
711,21.0,Xinxin Wang,Lingdi Zhu,China,Q11,$0.00,340.0
712,21.0,Miki Ishii,Sayaka Mizoe,Japan,Q12,$0.00,340.0
713,21.0,Megan Kraft,Emily Stockman,United States,Q13,$0.00,340.0
714,21.0,Sunniva Helland-Hansen,Emilie Olimstad,Norway,Q15,$0.00,340.0
715,21.0,Anna Pavelkova,Katerina Pavelkova,Czech Republic,Q16,$0.00,340.0
716,1.0,Davide Benzi,Carlo Bonifazi,Italy,1,"€ 1,000.00",400.0
717,2.0,Krystof Oliva,Tadeas Trousil,Czech Republic,7,€ 700.00,360.0
718,3.0,Likejiang Ha,Jiaxin Wu,China,2,€ 500.00,320.0
719,4.0,Gianluca Dal Corso,Marco Viscovich,Italy,10,€ 400.00,280.0
720,5.0,Bautista Amieva,Leo Aveiro,Argentina,3,€ 300.00,240.0
721,5.0,Julian Azaad,Maciel Bueno,Argentina,5,€ 300.00,240.0
722,5.0,Dirk Boehle,Mees Sengers,Netherlands,11,€ 300.00,240.0
723,5.0,Quinten Groenewold,Sam van Der Loo,Netherlands,"14, Q4",€ 300.00,240.0
724,9.0,Felix Friedl,Alexander Huber,Austria,4,€ 200.00,180.0
725,9.0,Maximilian Just,Lui Wust,Germany,"9, Q1",€ 200.00,180.0
726,9.0,Fabrizio Manni,Francesco Vanni,Italy,"13, Q8",€ 200.00,180.0
727,9.0,Michael Burgmann,Theo Hanni,Italy,16,€ 200.00,180.0
728,13.0,Tobia Marchetto,Jakob Windisch,Italy,6,€ 100.00,140.0
729,13.0,Danilo Von Ludwiger,Leo Williams,South Africa,8,€ 100.00,140.0
730,13.0,Zhuoxin Li,Chuanyong Liu,China,"12, Q2",€ 100.00,140.0
731,13.0,Joppe Van Langendonck,Christophe Witvrouwen,Belgium,"15, Q6",€ 100.00,140.0
732,17.0,Jie Li,Yanwei Wang,China,Q3,€ 0.00,100.0
733,17.0,Arnas Rumsevicius,Tomas Stasevicius,Lithuania,Q5,€ 0.00,100.0
734,17.0,Juan Bello,Josue Seekings,England,Q10,€ 0.00,100.0
735,21.0,Erik Nijland,Yannick Verberne,Netherlands,Q7,€ 0.00,60.0
736,21.0,Adam Stocek,Jakub Vala,Czech Republic,Q9,€ 0.00,60.0
737,21.0,Teppo Pulkkinen,Pyry Topio,Finland,Q11,€ 0.00,60.0
738,21.0,Balazs Fazekas,Matyas Papp,Hungary,Q12,€ 0.00,60.0
739,21.0,Niklas Held,Tilo Rietschel,Germany,Q13,€ 0.00,60.0
740,21.0,Thibaud Colomb,Tinko Schnegg,Switzerland,Q14,€ 0.00,60.0
741,,Stefanie Fejes,Jana Milutinovic,Australia,4,€ 300.00,240.0
742,1.0,Margherita Bianchin,Claudia Scampoli,Italy,1,"€ 1,000.00",400.0
743,2.0,Katarzyna Kociolek,Marta Lodej,Poland,6,€ 700.00,360.0
744,3.0,Maia Najul,Cecilia Peralta,Argentina,2,€ 500.00,320.0
745,4.0,Darby Dunn,Olivia Furlan,Canada,5,€ 400.00,280.0
746,5.0,Agata Ceynowa,Nicole Jochym,Poland,10,€ 300.00,240.0
747,5.0,Erika Ditta,Eleonora Sestini,Italy,13,€ 300.00,240.0
748,5.0,Giada Bianchi,Maria Mancinelli,Italy,"16, Q11",€ 300.00,240.0
749,9.0,Anna Pelloia,Margherita Tega,Italy,7,€ 200.00,180.0
750,9.0,Valerie Dvornikova,Anna Pospisilova,Czech Republic,9,€ 200.00,180.0
751,9.0,Reka Orsi Toth,Viktoria Orsi Toth,Italy,11,€ 200.00,180.0
752,9.0,Daniele Kvedaraite,Irina Zobnina,Lithuania,"14, Q4",€ 200.00,180.0
753,13.0,Caitlin Bettenay,Alisha Stevens,Australia,3,€ 100.00,140.0
754,13.0,Ines Castro,Beatriz Pinheiro,Portugal,8,€ 100.00,140.0
755,13.0,Devin Corah,Adriel Goodman,Canada,"12, Q2",€ 100.00,140.0
756,13.0,Eleonora Annibalini,Aurora Mattavelli,Italy,"15, Q9",€ 100.00,140.0
757,17.0,Pilar Mardones,Amanda Recart,Chile,Q1,€ 0.00,100.0
758,17.0,Mirto Kalamaridou,Dimitra Manavi,Greece,Q3,€ 0.00,100.0
759,17.0,Patrycja Jundzill,Melania Marcinowska,Poland,Q5,€ 0.00,100.0
760,17.0,Emma Glagau,Dana Roskic,Canada,Q7,€ 0.00,100.0
761,21.0,Anniina Muukka,Anna Rantala,Finland,Q6,€ 0.00,60.0
762,21.0,Valma Prihti,Aliisa Vuorinen,Finland,Q8,€ 0.00,60.0
763,21.0,Lubica Siposova,Martina Terenova,Slovakia,Q10,€ 0.00,60.0
764,21.0,Sara Bisbe,Anna Grima,Spain,Q12,€ 0.00,60.0
765,21.0,Julie Honzovicova,Andrea Lorenzova,Czech Republic,Q13,€ 0.00,60.0
766,21.0,Sara Bachini,Ludovica Panfili,Italy,Q14,€ 0.00,60.0
767,21.0,Juste Derkintyte,Felicia Granberg,Sweden,Q15,€ 0.00,60.0
768,1.0,Florian Breer,Marco Krattiger,Switzerland,2,"€ 1,000.00",400.0
769,2.0,Yves Haussener,Quentin Metral,Switzerland,1,€ 700.00,360.0
770,3.0,Jedrzej Brozyniak,Piotr Janiak,Poland,8,€ 500.00,320.0
771,4.0,Jyrki Nurminen,Santeri Siren,Finland,13,€ 400.00,280.0
772,5.0,Philipp Huster,Simon Pfretzschner,Germany,5,€ 300.00,240.0
773,5.0,Tim Berger,Timo Hammarberg,Austria,"10, Q3",€ 300.00,240.0
774,5.0,Leo Dillier,Adrian Heidrich,Switzerland,11,€ 300.00,240.0
775,5.0,Niko Gleed,Harry Jones,England,"16, Q8",€ 300.00,240.0
776,9.0,Laurenz Leitner,Paul Pascariuc,Austria,3,€ 200.00,180.0
777,9.0,Jonathan Jordan,Immanuel Zurcher,Switzerland,12,€ 200.00,180.0
778,9.0,Nils Ringoen,Jo Gladsoy Sunde,Norway,"14, Q5",€ 200.00,180.0
779,9.0,Garang Anyang,D'Artagnan Potts,Australia,"15, Q6",€ 200.00,180.0
780,13.0,Simon Kulzer,Momme Lorenz,Germany,4,€ 100.00,140.0
781,13.0,Mateusz Florczyk,Mikolaj Miszczuk,Poland,6,€ 100.00,140.0
782,13.0,Soloman Bushby,James Takken,Australia,7,€ 100.00,140.0
783,13.0,Gilles Vandecaveye,Louis Vandecaveye,Belgium,"9, Q2",€ 100.00,140.0
784,17.0,Ben Hood,Lucas Josefsen,Australia,Q1,€ 0.00,100.0
785,17.0,Erik Ask,Jacob Nilsson,Sweden,Q7,€ 0.00,100.0
786,17.0,Lucas Aguinelo,Johann Ferdinand,Brazil,Q13,€ 0.00,100.0
787,21.0,Benedikt Sagstetter,Jonas Sagstetter,Germany,Q4,€ 0.00,60.0
788,21.0,Abdelrahman Fayed,Atef Nassif,Egypt,Q9,€ 0.00,60.0
789,21.0,Jan Bercik,Ondrej Herman,Czech Republic,Q10,€ 0.00,60.0
790,21.0,Christopher Blake,Robert Reeves,Australia,Q11,€ 0.00,60.0
791,21.0,Oscar Feltrer,Pablo Perez,Spain,Q12,€ 0.00,60.0
792,21.0,Juraj Krajci,Calum Stewart,New Zealand,Q14,€ 0.00,60.0
793,21.0,Linus Deecke,Julian Friedli,Switzerland,Q15,€ 0.00,60.0
794,21.0,Samuel Massari,Ryan Rapini,United States,Q16,€ 0.00,60.0
795,1.0,Tetiana Lazarenko,Diana Lunina,Ukraine,4,"€ 1,000.00",400.0
796,2.0,Michaela Brinkova,Karin Zolnercikova,Czech Republic,"14, Q9",€ 700.00,360.0
797,3.0,Jasmine Fleming,Georgia Johnson,Australia,2,€ 500.00,320.0
798,4.0,Nele Schmitt,Paula Schurholz,Germany,"9, Q3",€ 400.00,280.0
799,5.0,Menia Bentele,Anna Lutz,Switzerland,1,€ 300.00,240.0
800,5.0,Ieva Dumbauskaite,Skalve Krizanauskaite,Lithuania,7,€ 300.00,240.0
801,5.0,Leona Kernen,Annique Niederhauser,Switzerland,10,€ 300.00,240.0
802,5.0,Kylie Neuschaeferova,Marketa Svozilova,Czech Republic,"16, Q13",€ 300.00,240.0
803,9.0,Erika Kliokmanaite,Ieva Vasiliauskaite,Lithuania,5,€ 200.00,180.0
804,9.0,Sanna Thurin,Tina Thurin,Sweden,6,€ 200.00,180.0
805,9.0,Muriel Bossart,Shana Zobrist,Switzerland,11,€ 200.00,180.0
806,9.0,Marta Ozolina,Luize Skrastina,Latvia,12,€ 200.00,180.0
807,13.0,Brittany Kendall,Tara Phillips,Australia,3,€ 100.00,140.0
808,13.0,Devon May,Myriam Robitaille,Canada,8,€ 100.00,140.0
809,13.0,Julie Bovet,Livia Stolz,Switzerland,13,€ 100.00,140.0
810,13.0,Esther Cramer,Laura Overwater,Netherlands,"15, Q10",€ 100.00,140.0
811,17.0,Liisa-Lotta Jurgenson,Eva Kuivonen,Estonia,Q1,€ 0.00,100.0
812,17.0,Eva Freiberger,Stephanie Wiesmeyr,Austria,Q2,€ 0.00,100.0
813,17.0,Camilla Sanguigni,Giulia Tamagnone,Italy,Q11,€ 0.00,100.0
814,17.0,Federica Frasca,Alice Gradini,Italy,Q12,€ 0.00,100.0
815,21.0,Sara Malmstrom,Klara Ribom,Sweden,Q4,€ 0.00,60.0
816,21.0,Katja Metsakoivu,Tuuli Metsakoivu,Finland,Q5,€ 0.00,60.0
817,21.0,Lynne Beattie,Melissa Coutts,Scotland,Q6,€ 0.00,60.0
818,21.0,Magdalena Cerna,Tereza Francova,Czech Republic,Q7,€ 0.00,60.0
819,21.0,Anouk Kressler,Janick Schaltegger,Switzerland,Q8,€ 0.00,60.0
820,21.0,Anna Piccoli,Sharin Rottoli,Italy,Q14,€ 0.00,60.0
821,21.0,Anna Dostalova,Justyna Frommova,Czech Republic,Q15,€ 0.00,60.0
822,21.0,Deborah Lutz,Jasmine Wandeler,Switzerland,Q16,€ 0.00,60.0
823,1.0,Thomas Hodges,Zachery Schubert,Australia,"20, Q12","$10,000.00",800.0
824,2.0,Andre Loyola,George Wanderley,Brazil,1,"$8,000.00",760.0
825,3.0,Vitor Felipe,Renato Lima,Brazil,11,"$7,000.00",720.0
826,4.0,Evandro Goncalves,Arthur Lanci,Brazil,7,"$6,000.00",680.0
827,5.0,Matthew Immers,Steven van de Velde,Netherlands,4,"$3,750.00",600.0
828,5.0,Tri Bourne,Chaim Schalk,United States,8,"$3,750.00",600.0
829,5.0,Theo Brunner,Trevor Crabb,United States,16,"$3,750.00",600.0
830,5.0,Piotr Kantor,Jakub Zdybek,Poland,"19, Q9","$3,750.00",600.0
831,9.0,Sergiy Popov,Eduard Reznik,Ukraine,2,"$2,500.00",460.0
832,9.0,Samuele Cottafava,Paolo Nicolai,Italy,3,"$2,500.00",460.0
833,9.0,Mathias Berntsen,Hendrik Mol,Norway,5,"$2,500.00",460.0
834,9.0,Aleksandrs Samoilovs,Janis Smedins,Latvia,6,"$2,500.00",460.0
835,9.0,Chase Budinger,Miles Evans,United States,10,"$2,500.00",460.0
836,9.0,Kusti Nolvak,Mart Tiisaar,Estonia,12,"$2,500.00",460.0
837,9.0,Julian Horl,Alexander Horst,Austria,14,"$2,500.00",460.0
838,9.0,Leo Dillier,Adrian Heidrich,Switzerland,"24, Q22","$2,500.00",460.0
839,17.0,Izac Carracher,Mark Nicolaidis,Australia,9,"$1,500.00",360.0
840,17.0,Daniele Lupo,Enrico Rossi,Italy,"15, Q3","$1,500.00",360.0
841,19.0,Noe Aravena,Vicente Droguett,Chile,"13, Q1","$1,000.00",300.0
842,19.0,Moritz Pristauz,Robin Seidl,Austria,17,"$1,000.00",300.0
843,19.0,Likejiang Ha,Jiaxin Wu,China,"18, Q7","$1,000.00",300.0
844,19.0,Paul Henning,Sven Winter,Germany,"21, Q15","$1,000.00",300.0
845,19.0,Hugo Campos,Joao Pedrosa,Portugal,22,"$1,000.00",300.0
846,19.0,Lukas Pfretzschner,Robin Sowa,Germany,"23, Q20","$1,000.00",300.0
847,25.0,Nicolas Capogrosso,Tomas Capogrosso,Argentina,Q2,$0.00,220.0
848,25.0,Calvin Aye,Quincy Aye,France,Q4,$0.00,220.0
849,25.0,Tomas Semerad,Jakub Sepka,Czech Republic,Q5,$0.00,220.0
850,25.0,Paul Burnett,Christopher McHugh,Australia,Q6,$0.00,220.0
851,25.0,Davide Benzi,Carlo Bonifazi,Italy,Q8,$0.00,220.0
852,25.0,Hasan Mermer,Safa Urlu,Türkiye,Q14,$0.00,220.0
853,25.0,Martins Plavins,Mihails Samoilovs,Latvia,Q17,$0.00,220.0
854,25.0,Philipp Huster,Simon Pfretzschner,Germany,Q23,$0.00,220.0
855,33.0,Poravid Taovato,Pithak Tipjan,Thailand,Q10,$0.00,140.0
856,33.0,Pawel Lewandowski,Maciej Rudol,Poland,Q11,$0.00,140.0
857,33.0,Florian Breer,Marco Krattiger,Switzerland,Q13,$0.00,140.0
858,33.0,Surin Jongklang,Dunwinit Kaewsai,Thailand,Q16,$0.00,140.0
859,33.0,Vaclav Bercik,Matyas Dzavoronok,Czech Republic,Q18,$0.00,140.0
860,33.0,Robert Juchnevic,Artur Vasiljev,Lithuania,Q19,$0.00,140.0
861,33.0,Mateusz Florczyk,Mikolaj Miszczuk,Poland,Q21,$0.00,140.0
862,33.0,Olivers Bulgacs,Edgars Tocs,Latvia,Q24,$0.00,140.0
863,33.0,Thibault Goset,Alexy Humblet,Belgium,Q25,$0.00,140.0
864,33.0,Erik Ask,Jacob Nilsson,Sweden,Q26,$0.00,140.0
865,33.0,Rudolfs Stankevics,Davis Teteris,Latvia,Q27,$0.00,140.0
866,33.0,Dimitriy Korotkov,Urmas Piik,Estonia,Q28,$0.00,140.0
867,33.0,Lucas Aguinelo,Johann Ferdinand,Brazil,Q29,$0.00,140.0
868,33.0,Kaur Kais,Jaan Rebel,Estonia,Q30,$0.00,140.0
869,33.0,Rinalds Aispurs,Arnis Relins,Latvia,Q31,$0.00,140.0
870,1.0,Melissa Humana-Paredes,Brandie Wilkerson,Canada,3,"$10,000.00",800.0
871,2.0,Esmee Bobner,Zoe Verge-Depre,Switzerland,11,"$8,000.00",760.0
872,3.0,Tina Graudina,Anastasija Samoilova,Latvia,1,"$7,000.00",720.0
873,4.0,Victoria Lopes,Taina Silva,Brazil,6,"$6,000.00",680.0
874,5.0,Xinyi Xia,Chen Xue,China,5,"$3,750.00",600.0
875,5.0,Margherita Bianchin,Claudia Scampoli,Italy,10,"$3,750.00",600.0
876,5.0,Andressa Cavalcanti,Vitoria De Souza,Brazil,13,"$3,750.00",600.0
877,5.0,Jie Dong,Fan Wang,China,"16, Q6","$3,750.00",600.0
878,9.0,Joana Mader,Anouk Verge-Depre,Switzerland,2,"$2,500.00",460.0
879,9.0,Daniela Alvarez,Tania Moreno,Spain,7,"$2,500.00",460.0
880,9.0,Julia Donlin,Betsi Flint,United States,12,"$2,500.00",460.0
881,9.0,Monika Paulikiene,Aine Raupelyte,Lithuania,"14, Q1","$2,500.00",460.0
882,9.0,Niina Ahtiainen,Taru Lahti,Finland,"15, Q5","$2,500.00",460.0
883,9.0,Rebecca Cavalcanti,Carolina Horta,Brazil,17,"$2,500.00",460.0
884,9.0,Talita Antunes,Thamela Coradelli,Brazil,"18, Q7","$2,500.00",460.0
885,9.0,Megan Kraft,Emily Stockman,United States,"21, Q13","$2,500.00",460.0
886,17.0,Jagoda Sliwka,Aleksandra Wachowicz,Poland,9,"$1,500.00",360.0
887,17.0,Louisa Lippmann,Laura Ludwig,Germany,20,"$1,500.00",360.0
888,19.0,Worapeerachayakorn Kongphopsarutawadee,Taravadee Naraphornrapat,Thailand,4,"$1,000.00",300.0
889,19.0,Ana Gallay,Fernanda Pereyra,Argentina,8,"$1,000.00",300.0
890,19.0,Brecht Piersma,Emi van Driel,Netherlands,"19, Q9","$1,000.00",300.0
891,19.0,Hailey Harward,Kelley Kolinske,United States,"22, Q14","$1,000.00",300.0
892,19.0,Varvara Brailko,Anete Namike,Latvia,23,"$1,000.00",300.0
893,19.0,Brook Bauer,Katie Horton,United States,"24, Q18","$1,000.00",300.0
894,25.0,Toni Rodriguez,Savvy Simo,United States,Q2,$0.00,220.0
895,25.0,Molley McBain,Sarah Pavan,Canada,Q3,$0.00,220.0
896,25.0,Madelyne Anderson,Molly Shaw,United States,Q4,$0.00,220.0
897,25.0,Sunniva Helland-Hansen,Emilie Olimstad,Norway,Q8,$0.00,220.0
898,25.0,Erika Bobadilla,Michelle Valiente,Paraguay,Q11,$0.00,220.0
899,25.0,Ievgeniia Baieva,Valentyna Davidova,Ukraine,Q17,$0.00,220.0
900,25.0,Meimei Lin,Jinjin Zeng,China,Q21,$0.00,220.0
901,25.0,Chenoa Christ,Kim Van de Velde,Germany,Q23,$0.00,220.0
902,33.0,Dorina Klinger,Ronja Klinger,Austria,Q10,$0.00,140.0
903,33.0,Jasmine Fleming,Georgia Johnson,Australia,Q12,$0.00,140.0
904,33.0,Xinxin Wang,Lingdi Zhu,China,Q15,$0.00,140.0
905,33.0,Inna Makhno,Iryna Makhno,Ukraine,Q16,$0.00,140.0
906,33.0,Isabel Schneider,Julia Sude,Germany,Q19,$0.00,140.0
907,33.0,Megan McNamara,Nicole McNamara,Canada,Q20,$0.00,140.0
908,33.0,Sofia Gonzalez,Sol Guidarelli,Spain,Q22,$0.00,140.0
909,33.0,Erika Kliokmanaite,Ieva Vasiliauskaite,Lithuania,Q24,$0.00,140.0
910,33.0,Katarzyna Kociolek,Marta Lodej,Poland,Q25,$0.00,140.0
911,33.0,Liva Ebere,Deniela Konstantinova,Latvia,Q26,$0.00,140.0
912,33.0,Ieva Dumbauskaite,Skalve Krizanauskaite,Lithuania,Q27,$0.00,140.0
913,33.0,Marta Ozolina,Luize Skrastina,Latvia,Q28,$0.00,140.0
914,33.0,Mirto Kalamaridou,Dimitra Manavi,Greece,Q29,$0.00,140.0
915,33.0,Beate Liepajniece,Anija Ozolina,Latvia,Q30,$0.00,140.0
916,33.0,Urte Andriukaityte,Ariana Rudkovskaja,Lithuania,Q31,$0.00,140.0
917,33.0,Kitija Adamsone,Renate Kruklite,Latvia,Q32,$0.00,140.0
918,1.0,Tom Altwies,Elouan Chouikh,France,14,"€ 1,000.00",400.0
919,2.0,Gilles Vandecaveye,Louis Vandecaveye,Belgium,"8, Q4",€ 700.00,360.0
920,3.0,Arnaud Gauthier-Rat,Youssef Krou,France,1,€ 500.00,320.0
921,4.0,Benedikt Sagstetter,Jonas Sagstetter,Germany,"11, Q7",€ 400.00,280.0
922,5.0,Julian Azaad,Maciel Bueno,Argentina,2,€ 300.00,240.0
923,5.0,Bautista Amieva,Leo Aveiro,Argentina,3,€ 300.00,240.0
924,5.0,Thijs Nijeboer,Mart van Werkhoven,Netherlands,9,€ 300.00,240.0
925,5.0,Ardis Bedritis,Arturs Rinkevics,Latvia,13,€ 300.00,240.0
926,9.0,Olivier Barthelemy,Samuel Cattet,France,4,€ 200.00,180.0
927,9.0,Maximilian Just,Lui Wust,Germany,"7, Q3",€ 200.00,180.0
928,9.0,Jyrki Nurminen,Santeri Siren,Finland,10,€ 200.00,180.0
929,9.0,Garang Anyang,D'Artagnan Potts,Australia,"12, Q8",€ 200.00,180.0
930,13.0,Danilo Von Ludwiger,Leo Williams,South Africa,5,€ 100.00,140.0
931,13.0,Soloman Bushby,James Takken,Australia,6,€ 100.00,140.0
932,13.0,Keran Duval,Joadel Gardoque,France,15,€ 100.00,140.0
933,13.0,Thibaud Colomb,Tinko Schnegg,Switzerland,"16, Q12",€ 100.00,140.0
934,17.0,Krystof Oliva,Tadeas Trousil,Czech Republic,Q1,€ 0.00,100.0
935,17.0,Zhuoxin Li,Chuanyong Liu,China,Q2,€ 0.00,100.0
936,17.0,Jie Li,Yanwei Wang,China,Q6,€ 0.00,100.0
937,21.0,Ben Hood,Lucas Josefsen,Australia,Q5,€ 0.00,60.0
938,21.0,Abdelrahman Fayed,Atef Nassif,Egypt,Q9,€ 0.00,60.0
939,21.0,Vicente Minaya,Javier Monfort,Spain,Q10,€ 0.00,60.0
940,21.0,Juraj Krajci,Calum Stewart,New Zealand,Q11,€ 0.00,60.0
941,21.0,Edoardo Gilardoni,Fabrizio Venditti,Italy,Q13,€ 0.00,60.0
942,21.0,Steve Marshall,Sharone Vernon,Canada,Q14,€ 0.00,60.0
943,1.0,Melanie Paul,Hanna-Marie Schieder,Germany,"13, Q11","€ 1,000.00",400.0
944,2.0,Aline Chamereau,Clemence Vieira,France,4,€ 700.00,360.0
945,3.0,Anouk Dupin,Ophelie Lusson,France,16,€ 500.00,320.0
946,4.0,Maia Najul,Cecilia Peralta,Argentina,1,€ 400.00,280.0
947,5.0,Tetiana Lazarenko,Diana Lunina,Ukraine,3,€ 300.00,240.0
948,5.0,Stefanie Fejes,Jana Milutinovic,Australia,"5, Q1",€ 300.00,240.0
949,5.0,Darby Dunn,Olivia Furlan,Canada,7,€ 300.00,240.0
950,5.0,Elsa Descamps,Marine Kinna,France,9,€ 300.00,240.0
951,9.0,Caitlin Bettenay,Alisha Stevens,Australia,2,€ 200.00,180.0
952,9.0,Saofe Duval,Pia Szewczyk,France,11,€ 200.00,180.0
953,9.0,Devin Corah,Adriel Goodman,Canada,"14, Q12",€ 200.00,180.0
954,9.0,Emere Maau-Boutry,Alex Merle,France,"15, Q15",€ 200.00,180.0
955,13.0,Brittany Kendall,Tara Phillips,Australia,6,€ 100.00,140.0
956,13.0,Wies Bekhuis,Desy Poiesz,Netherlands,8,€ 100.00,140.0
957,13.0,Reka Orsi Toth,Viktoria Orsi Toth,Italy,10,€ 100.00,140.0
958,13.0,Katie Lindstrom,Tiffany Svenssohn,United States,"12, Q9",€ 100.00,140.0
959,17.0,Lisbeth Allcca,Claudia Gaona,Peru,Q3,€ 0.00,100.0
960,17.0,Leona Kernen,Annique Niederhauser,Switzerland,Q4,€ 0.00,100.0
961,17.0,Anaya Evans,Daisy Mumby,England,Q7,€ 0.00,100.0
962,21.0,Pilar Mardones,Amanda Recart,Chile,Q2,€ 0.00,60.0
963,21.0,Heleene Hollas,Liisa Remmelg,Estonia,Q5,€ 0.00,60.0
964,21.0,Sanna Thurin,Tina Thurin,Sweden,Q6,€ 0.00,60.0
965,21.0,Louka Maertens,Lisa Van Den Vonder,Belgium,Q8,€ 0.00,60.0
966,21.0,Mila Konink,Noa Sonneville,Netherlands,Q10,€ 0.00,60.0
967,21.0,Annelore Bex,Ines Piret,Belgium,Q13,€ 0.00,60.0
968,21.0,Katja Metsakoivu,Tuuli Metsakoivu,Finland,Q14,€ 0.00,60.0
969,21.0,Valma Prihti,Aliisa Vuorinen,Finland,Q16,€ 0.00,60.0
970,1.0,Markus Mol,Jo Gladsoy Sunde,Norway,"12, Q6","€ 1,000.00",400.0
971,2.0,Lorenz Petutschnig,Florian Schnetzer,Austria,6,€ 700.00,360.0
972,3.0,Panagiotis Ioannidis,Thodoris Papadimitriou,Greece,15,€ 500.00,320.0
973,4.0,Bautista Amieva,Leo Aveiro,Argentina,8,€ 400.00,280.0
974,5.0,Julian Azaad,Maciel Bueno,Argentina,1,€ 300.00,240.0
975,5.0,Iason Kanellos,Georgios Terzoglou,Greece,4,€ 300.00,240.0
976,5.0,Soloman Bushby,James Takken,Australia,9,€ 300.00,240.0
977,5.0,Ardis Bedritis,Arturs Rinkevics,Latvia,"10, Q4",€ 300.00,240.0
978,9.0,Vaclav Bercik,Matyas Dzavoronok,Czech Republic,2,€ 200.00,180.0
979,9.0,Ben Hood,Lucas Josefsen,Australia,11,€ 200.00,180.0
980,9.0,Igor Ciemachowski,Piotr Groszek,Poland,"13, Q10",€ 200.00,180.0
981,9.0,Dimitrios Chatzinikolaou,Stavros Ntallas,Greece,14,€ 200.00,180.0
982,13.0,Danilo Von Ludwiger,Leo Williams,South Africa,3,€ 100.00,140.0
983,13.0,Tom Altwies,Elouan Chouikh,France,"5, Q1",€ 100.00,140.0
984,13.0,Lukas Pfretzschner,Robin Sowa,Germany,7,€ 100.00,140.0
985,13.0,Antiol Kola,Stylianos Tzioumakas,Greece,16,€ 100.00,140.0
986,17.0,Artur Hajos,Bence Streli,Hungary,Q2,€ 0.00,100.0
987,17.0,Arran Chambers,Liam Kopp,Canada,Q3,€ 0.00,100.0
988,17.0,Garang Anyang,D'Artagnan Potts,Australia,Q5,€ 0.00,100.0
989,17.0,Matyas Jezek,Adam Waber,Czech Republic,Q9,€ 0.00,100.0
990,21.0,Christopher Blake,Robert Reeves,Australia,Q7,€ 0.00,60.0
991,21.0,Daan Hendrikx,Kyan Vercauteren,Belgium,Q8,€ 0.00,60.0
992,21.0,Juraj Krajci,Calum Stewart,New Zealand,Q11,€ 0.00,60.0
993,21.0,Dimitrios Kaliozis,Ioannis Kardoulias,Greece,Q12,€ 0.00,60.0
994,21.0,Luca Cravera,Michele Crusca,Italy,Q13,€ 0.00,60.0
995,21.0,Valentino Salema,Ramiro Sancer,Argentina,Q14,€ 0.00,60.0
996,21.0,Noah Furrer,Ben Hensler,Switzerland,Q15,€ 0.00,60.0
997,1.0,Wies Bekhuis,Desy Poiesz,Netherlands,8,"€ 1,000.00",400.0
998,2.0,Franziska Friedl,Katharina Schutzenhofer,Austria,3,€ 700.00,360.0
999,3.0,Maia Najul,Cecilia Peralta,Argentina,1,€ 500.00,320.0
1000,4.0,Sofia Bisgaard,Clara Windeleff,Denmark,5,€ 400.00,280.0
1001,5.0,Sofia Gonzalez,Sol Guidarelli,Spain,2,€ 300.00,240.0
1002,5.0,Mirto Kalamaridou,Dimitra Manavi,Greece,4,€ 300.00,240.0
1003,5.0,Gerda Grudzinskaite,Rugile Grudzinskaite,Lithuania,"11, Q2",€ 300.00,240.0
1004,5.0,Georgia Antonakaki,Ioanna Perdikaki,Greece,15,€ 300.00,240.0
1005,9.0,Heleene Hollas,Liisa Remmelg,Estonia,"10, Q1",€ 200.00,180.0
1006,9.0,Federica Frasca,Alice Gradini,Italy,"13, Q11",€ 200.00,180.0
1007,9.0,Dionysia Matiou,Liza Triantafillidi,Greece,14,€ 200.00,180.0
1008,9.0,Vasiliki Matiadi,Anastasia Shirinina,Greece,16,€ 200.00,180.0
1009,13.0,Lisbeth Allcca,Claudia Gaona,Peru,6,€ 100.00,140.0
1010,13.0,Varvara Brailko,Anete Namike,Latvia,7,€ 100.00,140.0
1011,13.0,Pilar Mardones,Amanda Recart,Chile,9,€ 100.00,140.0
1012,13.0,Alison Mckay,Katharine Wuttunee,Canada,"12, Q5",€ 100.00,140.0
